Pollster 	Dates 	N/Pop 	Approve 	Disapprove 	Undecided
Rasmussen 	2/3-5/09 	1500 LV 	61 	36 	-
Gallup 	2/2-4/09 	1500 A 	65 	20 	-
CBS News 	2/2-4/09 	864 A 	62 	15 	23
Rasmussen 	1/31-2/2/09 	1500 LV 	61 	36 	-
Gallup 	1/30-2/1/09 	1500 A 	66 	19 	-
USA Today/Gallup 	1/30-2/1/09 	1027 A 	64 	25 	11
Rasmussen 	1/28-30/09 	1500 LV 	63 	34 	-
Gallup 	1/27-29/09 	1500 A 	66 	17 	-
Democracy Corps (D) 	1/26-29/09 	1000 LV 	55 	20 	24
FOX 	1/27-28/09 	900 RV 	65 	16 	19
Rasmussen 	1/25-27/09 	1500 LV 	62 	36 	-
Gallup 	1/24-26/09 	1500 A 	65 	15 	-
Zogby (Internet) 	1/22-26/09 	3684 LV 	52 	29 	19
Rasmussen 	1/22-24/09 	1500 LV 	60 	36 	-
Diageo/Hotline 	1/21-24/09 	800 RV 	63 	9 	29
Gallup 	1/21-23/09 	1591 A 	68 	12 	21
Rasmussen 	1/19-21/09 	1500 LV 	64 	29 	-
Rasmussen 	1/16-18/09 	1500 LV 	67 	31 	-
ABC/Post 	1/13-16/09 	1079 A 	80 	15 	5
Rasmussen 	1/13-15/09 	1500 LV 	65 	33 	-
CNN 	1/12-15/09 	1245 A 	84 	14 	2
AP-GfK 	1/9-14/09 	1001 A 	74 	15 	6
Rasmussen 	1/10-12/09 	1500 LV 	67 	30 	-
NBC/WSJ 	1/9-12/09 	1007 A 	71 	14 	15
USA Today/Gallup 	1/9-11/09 	1031 A 	83 	12 	5
Pew 	1/7-11/09 	1503 A 	70 	18 	12
Rasmussen 	1/7-9/09 	1500 LV 	69 	28 	-
Zogby (Internet) 	1/6-8/09 	3498 LV 	58 	36 	6
Rasmussen 	1/4-6/09 	1500 LV 	69 	28 	-
Rasmussen 	12/30/08-1/3/09 	1500 LV 	69 	28 	-
Winston Group (R) 	12/29-30/08 	1000 RV 	61 	13 	25
CNN 	12/19-21/08 	1013 A 	82 	15 	3
Rasmussen 	12/17-19/08 	1500 LV 	69 	29 	-
Democracy Corps (D) 	12/16-18/08 	1000 LV 	57 	19 	24
Rasmussen 	12/14-16/08 	1500 LV 	66 	31 	-
USA Today/Gallup 	12/12-14/08 	1008 A 	75 	17 	8
ABC/Post 	12/11-14/08 	1003 A 	76 	15 	9
Rasmussen 	12/11-13/08 	1500 LV 	67 	30 	-
Marist College 	12/9-10/08 	883 RV 	63 	10 	27
Rasmussen 	12/8-10/08 	1500 LV 	66 	32 	-
Times/Bloomberg 	12/6-8/08 	1000 A 	79 	10 	11
NBC/WSJ 	12/5-8/08 	1009 A 	73 	13 	14
AP-GfK 	12/3-8/08 	1000 A 	73 	14 	8
Rasmussen 	12/5-7/08 	1500 LV 	68 	30 	-
Pew 	12/3-7/08 	1489 A 	78 	18 	10
Newsweek 	12/3-4/08 	1006 A 	72 	13 	15
Rasmussen 	12/2-4/08 	1500 LV 	66 	31 	-
CNN 	12/1-2/08 	1096 A 	79 	18 	3
USA Today/Gallup 	12/1/08 	1010 A 	78 	13 	9
Rasmussen 	11/29-12/1/08 	1500 LV 	65 	32 	-
Rasmussen 	11/23-25/08 	1500 LV 	62 	36 	-
ABC News 	11/19-23/08 	1003 A 	67 	18 	15
Democracy Corps (D) 	11/19-23/08 	1000 LV 	53 	20 	28
Rasmussen 	11/20-22/08 	1500 LV 	61 	36 	-
Rasmussen 	11/17-19/08 	1500 LV 	61 	35 	-
Rasmussen 	11/14-16/08 	1500 LV 	61 	37 	-
Rasmussen 	11/11-13/08 	1500 LV 	58 	38 	-
Rasmussen 	11/8-10/08 	1500 LV 	58 	38 	-
Rasmussen 	11/5-7/08 	1500 LV 	54 	41 	-
